movies,production_companies
238,4
238,10211
278,97
240,4
240,536
19404,1569
424,56
129,10342
389,60
389,10212
372058,3756
372058,882
372058,2073
372058,8157
372058,14602
372058,128617
372058,104184
372058,3035
496243,4399
155,429
155,923
155,9996
155,118865
155,174
497,97
497,3982
497,174
680,14
680,59
680,216
569094,5
569094,2251
569094,77973
569094,84041
569094,14439
122,12
122,11
122,5237
13,4
13,21920
13,412
429,60
429,7508
429,42498
429,47
769,8880
704264,7899
704264,6760
11216,7110
11216,119518
11216,1583
11216,356
11216,185850
11216,14
346,882
12477,10342
637,370
637,14
696374,92153
620249,130588
620249,130591
620249,130592
620249,130593
620249,152035
620249,130589
539,10717
550,508
550,711
550,20555
550,54051
550,54052
550,4700
550,25
372754,13113
372754,2883
667257,17024
667257,96929
667257,12487
311,7965
311,10214
311,218
311,174
311,1256
724089,92153
598,345
598,346
598,856
598,11445
598,13969
598,11793
598,14
14537,192
510,286
761053,92153
157336,923
157336,9996
157336,13769
324857,5
324857,77973
324857,84041
324857,2251
324857,14439
378064,5438
378064,86839
378064,59118
378064,9148
378064,22715
378064,192
4935,10342
4935,2752
4935,11847
4935,6755
4935,1780
4935,1779
4935,12518
4935,2
120,12
120,11
120,5237
820067,92437
820067,9148
820067,157471
820067,118286
820067,118502
820067,41861
820067,59118
820067,187769
820067,42196
820067,187770
1891,1
40096,11446
40096,13969
92321,22602
255709,7819
255709,112850
255709,81594
872585,9996
872585,33
872585,507
121,12
121,11
121,5237
423,250
423,208
423,260
423,264
423,266
423,268
423,269
423,355
423,694
423,104
423,6480
423,265
423,2026
995133,183947
995133,11461
995133,3324
244786,2266
244786,3172
244786,32157
244786,24049
244786,11341
244786,58
568332,91410
568332,69922
807,12
807,4286
807,65393
27205,923
27205,9996
27205,174
652837,2849
652837,2073
652837,192
652837,8157
652837,139842
652837,11848
652837,170125
652837,91253
567,10715
567,4
18491,3041
18491,3466
18491,21504
18491,3034
18491,529
18491,1194
18491,5822
18491,113750
599,4
73,12
73,11308
73,924
12493,882
12493,2680
3782,882
274,41
274,55072
533514,5438
533514,86839
533514,9148
533514,31364
533514,136217
533514,6683
533514,155271
533514,155307
914,71975
914,60
128,10342
128,12516
128,2752
128,67681
128,1779
128,6755
128,1778
851644,49096
15804,70884
644479,78456
644479,7062
101,9
101,66743
901,1315
901,60
207,9195
207,10282
207,184460
207,1089
105,33
105,56
630566,174
630566,1757
25237,12617
25237,344
795607,67089
795607,69484
16672,3212
16672,882
283566,4145
447362,907
3082,1315
3082,60
335,4
335,218
335,25287
527641,84409
527641,5490
20334,21
10494,3464
10494,185544
10494,201821
10494,4868
10494,201822
29259,641
29259,534
29259,1826
28,60
28,70
568300,86824
568300,7036
568300,128333
637920,137006
637920,98733
637920,126639
77338,9
77338,6301
77338,7038
77338,7766
77338,8018
77338,22123
77338,104
77338,356
361743,82819
361743,10288
361743,4
315162,521
315162,33
10376,6246
10376,27597
975,60
975,611
670,399
670,7036
670,118802
670,685
299534,420
618344,2785
618344,9993
632632,42811
537061,7899
537061,7899
265177,13839
265177,50488
1585,11770
441130,23948
441130,13351
441130,142984
441130,11776
441130,1898
441130,30280
441130,726
441130,104
441130,1923
441130,11620
441130,142985
441130,89705
441130,32853
299536,420
635302,5887
635302,2883
635302,2918
635302,91520
635302,882
504253,86839
504253,2883
504253,8157
504253,62866
504253,56933
504253,145105
504253,3031
504253,84461
8587,2
8587,171656
508965,29566
508965,101644
897429,69922
897429,164323
797,6181
42269,93145
572154,121589
572154,2883
572154,86839
572154,2073
572154,157002
572154,81418
572154,118502
572154,142186
572154,84461
490132,6735
490132,7
490132,88582
290098,34725
290098,49096
290098,7036
110420,15662
110420,3464
110420,6755
110420,1194
110420,11725
110420,14789
110420,11727
110420,882
24188,1399
24188,12473
24188,12989
575813,35228
575813,140097
575813,140098
575813,7909
575813,140099
575813,152608
575813,152609
5156,1875
667276,9965
667276,204533
556574,89394
556574,122645
556574,150839
556574,122647
556574,2
610892,5438
610892,9148
610892,86839
610892,136217
610892,31364
354912,3
354912,2
522924,333
522924,25
522924,121671
522924,711
522924,1708
694,88
694,11272
694,734
298618,174
298618,152809
298618,170335
298618,128064
346698,82968
346698,437
346698,181486
346698,6220
667538,82819
667538,4
667538,435
667538,6734
667538,114732
667538,38831
667538,2598
447277,2
447277,17021
447277,2527
1040148,33
1040148,521
447365,420
447365,176762
459003,106008
459003,116025
459003,21652
385687,33
385687,333
385687,1225
385687,34530
1076487,198242
455476,11341
455476,5542
678512,90508
1083862,7220
1083862,7164
1083862,140891
1083862,172244
603692,3528
603692,23008
603692,491
603692,264
502356,33
502356,6704
502356,12288
1059638,188079
976573,2
976573,3
808396,2373
808396,16322
808396,162995
805320,11068
805320,25998
805320,119245
805320,13778
900667,5542
900667,2918
900667,5822
900667,3341
900667,155586
900667,12502
900667,173235
900667,1778
254128,12
254128,79
254128,34081
254128,174
921636,878
445651,2575
445651,25
406563,11341
406563,3172
406563,14734
406563,76907
406563,33
1130818,121204
1130818,139740
1130818,204229
1130818,5056
1130818,25954
1130818,142494
1130818,18892
1130818,72408
1070802,121204
1070802,121063
1070802,130900
1070802,1632
423108,12
423108,11565
423108,76907
614479,3172
614479,11341
614479,3287
614479,76907
614479,14734
664767,2785
697843,106544
697843,104576
76600,127928
76600,574
76600,22213
954388,172265
954388,172266
954388,92109
954388,172267
1010581,32485
1010581,20580
1103825,200553
1103825,77781
1103825,200554
1036561,185718
1036561,4322
1036561,185719
667717,153486
667717,121042
667717,4053
575264,4
575264,82819
575264,21777
882569,47729
882569,2900
47964,2735
47964,290
47964,444
47964,10893
47964,12292
47964,22213
47964,34396
47964,34397
47964,25
1075335,119056
1075335,20613
1075335,155758
890771,78193
890771,151485
890771,185127
890771,76991
536437,77863
536437,52180
536437,290
536437,158413
758323,3287
758323,84792
758323,177894
758323,177895
758323,177896
758323,194987
713704,12
713704,768
713704,467
713704,7893
713704,129815
713704,174
396263,3361
396263,882
841755,2785
640146,420
640146,176762
615656,56242
615656,174
615656,435
615656,92484
986070,150179
986070,18609
986070,117747
986070,106786
986070,75355
840326,62408
840326,182028
840326,11341
787752,923
787752,125055
204553,20064
204553,85150
204553,7270
204553,88607
204553,3394
204553,100305
204553,197889
204553,7036
594767,12
594767,11565
594767,128064
714669,71767
714669,12142
677179,21
677179,148495
677179,166120
677179,102334
677179,12252
994143,181859
335977,1
917007,47729
917007,130448
917007,121204
568124,6125
568124,2
634649,420
634649,84041
634649,5
1150394,9965
934433,126588
934433,130448
934433,143790
934433,4
22620,4811
1149947,162351
543504,122289
73723,33
73723,6704
73723,29335
856289,148024
856289,190261
856289,84946
856289,96956
856289,160975
1127781,200259
505642,420
436270,12
436270,34081
436270,128064
436270,73669
884605,117188
884605,86647
884605,5
961323,13184
961323,107183
961323,829
961323,9383
8920,1302
8920,25
345940,56242
345940,48778
345940,435
345940,107790
345940,56241
345940,174
605886,7493
605886,106786
675445,71738
675445,2348
675445,4
675445,8649
675445,82552
812225,3234
988078,11068
988078,182897
879444,99436
648743,147717
868759,82819
534313,20182
496450,84713
496450,140008
496450,2902
496450,79650
496450,35136
496450,200503
496450,138896
842675,14714
842675,191194
804150,33
804150,12365
804150,77973
346364,12
346364,829
346364,2723
346364,87671
893345,114874
893712,13113
893712,95809
893712,162614
893712,2883
893712,162613
17681,1353
17681,2785
17681,100848
813477,4145
813477,5896
813477,5822
616747,2
616747,118854
536554,76907
536554,3172
536554,89115
536554,33
860278,148495
860278,120524
916224,3756
916224,128616
916224,104184
916224,8157
916224,128617
916224,2073
916224,2883
916224,882
646389,73492
646389,435
646389,103331
646389,149107
646389,76314
985939,155758
985939,11053
985939,125401
552688,829
552688,1620
620705,2575
620705,2
616037,420
616037,176762
414906,101405
414906,119245
414906,128064
414906,174
799379,113586
799379,162275
799379,162276
799379,11590
700391,122323
700391,133303
700391,13240
700391,5
700391,22213
700391,53152
700391,34
1018494,200650
796185,7981
796185,20339
796185,1115
796185,123175
796185,47
796185,4606
796185,19037
675353,333
675353,10644
675353,77884
675353,4
675353,113750
1012837,30148
19995,444
19995,574
19995,25
19995,290
24428,420
293660,25
293660,431
293660,28788
118340,420
671,174
671,437
671,436
1726,420
68718,308
68718,5
603,79
603,372
603,1885
603,174
597,4
597,25
597,574
475557,174
475557,83036
475557,79
475557,13240
475557,128064
11324,11317
11324,4
11324,562
11324,23243
11324,181992
106646,14654
106646,19177
106646,562
106646,23243
99861,420
271110,420
49026,9996
49026,923
49026,9993
49026,174
68721,420
284054,420
76341,2537
76341,174
76341,41624
76341,79
284052,420
16869,308
16869,33
16869,59
16869,6817
16869,6818
16869,682
70160,1632
70160,5420
315635,420
315635,84041
315635,34034
672,174
672,437
672,436
283995,420
1771,420
297761,9993
297761,444
297761,174
297761,507
297761,429
297761,128064
297761,2723
10195,420
673,174
673,436
673,437
673,19092
10138,420
10138,7297
284053,420
272,174
272,429
272,9996
272,923
272,19231
135397,56
135397,33
150540,3
150540,2
674,174
674,437
674,462
22,2
22,130
12445,174
12445,437
11,1
11,25
297762,507
297762,9995
297762,128064
14160,3
102899,420
286217,1645
286217,28788
140607,1
140607,11461
675,174
675,437
263115,91797
263115,431
263115,28788
263115,25
767,174
767,437
12,3
259316,437
259316,174
245891,23008
245891,36259
245891,36433
245891,3528
12444,174
12444,437
100402,420
557,19551
557,326
10681,3
10681,2
49051,174
49051,21
49051,12
49051,11
210577,508
210577,10104
210577,15829
210577,22213
210577,60682
210577,25
585,3
281957,77845
281957,508
281957,562
281957,8870
281957,10039
281957,10104
281957,13796
281957,52660
281957,41624
862,3
209112,174
209112,41624
209112,507
209112,9995
209112,9993
98,33
98,1645
98,14440
98,21904
98,21905
98,21906
98,7
37165,4
37165,258
9806,3
9806,2
329865,7493
329865,32300
329865,7294
329865,88466
329865,2575
329865,4
329865,11341
76338,420
1930,7505
1930,326
1930,5
1930,53462
1930,14439
381288,33
381288,12236
381288,3172
383498,104228
383498,28788
383498,25
101299,1632
101299,5420
24,14
24,59
24,39121
419430,88934
419430,3172
419430,72725
424694,3281
424694,508
424694,90995
424694,11391
424694,10104
424694,25
205596,38145
205596,22146
205596,308
205596,7493
198663,290
198663,3672
198663,8569
198663,12292
198663,22213
198663,25
18785,923
18785,3527
18785,174
808,7
808,520
808,521
207703,25
207703,5374
207703,78995
207703,22213
2062,3
2062,2
313369,491
313369,33681
313369,10161
313369,53247
313369,2527
313369,1632
109445,2
109445,6125
374720,174
374720,9996
374720,41624
269149,6125
269149,2
240832,6896
240832,104
240832,10611
240832,356
329,33
329,56
321612,2
321612,10227
58,2
58,130
58,19936
75656,491
75656,7296
75656,23271
75656,23272
177572,2
177572,6125
131631,1632
131631,5420
335983,53462
335983,84041
335983,7505
335983,81620
335983,14439
6479,79
6479,433
6479,333
6479,174
6479,437
6479,907
299537,420
339403,443
339403,10163
857,4
857,56
857,762
857,7
857,1557
1124,174
1124,9195
1124,28
1124,9996
1892,1
37724,21
37724,7576
37724,10761
37724,5
37724,23288
49047,7470
49047,174
49047,437
127585,9168
127585,431
127585,31076
127585,25
429617,420
429617,84041
72190,3281
72190,4
72190,9169
72190,23644
72190,11956
72190,19108
72190,82819
72190,81
333339,56
333339,2609
333339,174
333339,11249
333339,79
333339,103376
330459,1
181808,1
49521,9993
49521,9996
49521,16774
49521,174
640,11084
640,367
640,368
20352,6704
20352,33
558,19551
558,326
118,80
118,55512
118,81
10193,3
10193,2
1422,829
1422,5552
1422,7380
1422,174
1422,81
120467,43
120467,258
120467,264
120467,9350
120467,22213
120467,23449
38,10146
38,10039
38,10059
77,491
77,506
77,598
77,34446
44214,43
44214,10246
44214,7503
44214,11317
752,264
752,449
752,450
752,1885
752,23889
752,174
752,429
752,451
1893,1
152601,13184
152601,174
152601,11341
285,130
285,19936
285,2
273248,308
273248,215
273248,1811
122917,174
122917,11
122917,12
122917,7413
122917,21
500,285
500,26198
10528,174
10528,79
10528,1885
10528,23202
10528,19855
12155,2
12155,16314
12155,598
12155,8601
12155,80
348,19747
348,25
1865,2
1865,130
1865,20478
447332,4
447332,2481
559,326
559,420
297802,174
297802,11565
297802,128064
393,39121
393,14
393,59
920,3
920,2
863,3
1271,449
1271,923
1271,2994
1271,2995
1271,7636
1271,174
1271,9995
137113,41624
137113,79
137113,6687
137113,787
137113,174
607,5
607,56
607,49325
353486,350
353486,53462
353486,73669
353486,5
78,5798
78,7965
78,174
1895,1
8966,491
8966,12292
8966,4000
8966,5218
8966,500
8966,57750
324786,50481
324786,491
324786,10246
324786,7437
324786,7584
324786,10951
324786,455
324786,8915
324786,13241
324786,1632
324786,8186
324786,94431
324786,51860
62177,2
62177,3
102651,2
102651,16314
363088,420
87827,711
87827,444
87827,290
87827,13480
87827,10893
87827,133789
87827,32555
274870,83838
274870,5
274870,79
274870,333
274870,7193
274870,19961
274870,34034
264660,284
264660,6705
264660,93105
264660,258
102382,7505
102382,5
102382,53462
102382,14439
141052,41624
141052,9995
141052,507
141052,174
141052,128064
425,11749
425,25
425,9383
1894,1
246655,431
246655,9168
246655,28788
246655,91797
246655,25
57158,174
57158,11
57158,12
57158,21
335984,79529
335984,101829
335984,1645
335984,5
335984,1088
335984,78028
335984,174
194662,22213
194662,9015
194662,10104
194662,52660
194662,47169
157350,491
157350,14440
466272,437
466272,5
466272,30148
190859,41624
190859,79
190859,57409
190859,171
190859,174
190859,1757
10191,521
10191,4
260513,2
260513,3
162,25
49538,431
49538,9168
49538,25
324552,3528
324552,23008
324552,491
185,174
185,88
4922,4
4922,174
4922,862
218,41
218,1280
218,3952
218,4764
218,7745
165,33
165,56
280,574
280,275
280,1280
280,183
64690,7263
64690,2266
64690,2527
64690,3263
64690,11337
64690,46625
68726,101082
68726,923
131634,1632
131634,5420
131634,264
420818,2
420818,7297
168259,333
168259,1225
168259,33
330457,2
330457,6125
351286,56
351286,33
337339,333
337339,1225
337339,33
211672,6704
211672,33
38356,4
38356,435
38356,38831
38356,38833
91314,435
91314,38831
91314,38833
91314,4
181812,1
181812,11461
301528,2
301528,3
420817,2
420817,118854
324852,6704
324852,33
127380,3
127380,2
507086,56
507086,33
1148557,147577
1148557,44337
93456,6704
93456,33
278927,2
278927,7297
278927,20478
453395,420
453395,176762
438148,33
438148,6704
809,7
809,520
809,521
1020253,181632
779029,159161
779029,30148
779029,122328
779029,3407
779029,65442
779029,69484
779029,14714
779029,76473
779029,116133
8355,9383
8355,11749
8355,25
206647,5
206647,21
206647,7576
57800,9383
57800,11749
57800,25
328111,6704
328111,33
452557,95816
452557,95817
452557,76394
452557,95818
452557,95819
8373,7
8373,4
8373,435
8373,38831
8373,38833
50620,491
50620,12292
50620,5219
50620,1632
758891,69484
758891,100130
758891,149256
758891,148024
758891,149257
758891,98983
602,25
602,347
810,521
810,520
810,4
512200,5
512200,73669
512200,53462
512200,92693
346696,174
346696,2527
166426,2
166426,130
166426,2691
601,33
601,56
353081,4
353081,11461
353081,82819
353081,21777
14161,5
14161,347
14161,10905
14161,1557
82992,33
82992,7295
82992,333
82992,1225
82992,3341
82992,48499
82992,1778
217,4
217,1
370172,7576
370172,21
370172,33
591,23
591,8253
384018,25998
384018,73669
384018,33
10192,521
10192,4
80321,521
80321,4
80321,520
411,2
411,10221
411,79503
62211,3
62211,2
615453,17818
615453,121042
615453,153486
615453,167789
504093,153464
504093,153465
504093,153466
504093,153486
604,79
604,1885
604,172
385128,333
385128,1225
385128,34530
385128,33
385128,105052
50619,491
50619,5219
50619,7490
50619,58321
50619,58322
50619,12292
50619,6446
119450,22213
119450,7076
119450,290
18239,491
18239,12292
18239,4000
18239,5218
18239,5219
1858,7
1858,435
1858,38831
24021,491
24021,12292
24021,5218
24021,4000
24021,5219
56292,4
56292,11461
56292,21777
56292,82819
277834,2
277834,6125
277834,143191
602666,189906
602666,2269
602666,148030
602666,83838
177677,4
177677,11461
177677,69485
177677,82819
1066298,98750
1066298,10284
745,158
745,862
745,915
745,17032
49444,521
49444,4
950,11749
950,9383
950,25
338952,174
338952,437
335797,6704
335797,33
335797,3341
335797,1778
9502,521
9502,4
8960,41756
8960,5
8960,7295
8960,28064
8960,433
8960,675
8960,907
928123,30148
928123,76473
928123,14714
928123,122328
928123,116133
928123,69484
51497,333
51497,33
51497,1225
41154,5
41154,9169
41154,56
41154,49325
41154,6736
82702,521
82702,20154
82702,829
82702,25
330,33
330,56
330,76068
615,152
11631,34441
11631,4171
11631,2655
335988,4
335988,435
335988,38833
335988,38831
10527,521
10527,520
10527,4
74,4
74,56
74,44
74,7
36557,7576
36557,11345
36557,5
36557,264
36557,10761
36557,41053
36557,21
38757,6125
38757,2
10764,7576
10764,21
10764,5
10764,22790
49519,521
49519,25
45243,923
45243,3527
45243,174
460555,30148
460555,109462
460555,109463
460555,109464
460555,109465
460555,83809
1593,436
1593,2575
1593,25
1593,290
1593,20035
